id,area,expected_behavior,status,issue_ids,check_ids,test_count,test_ids,source_refs,verification_note
CLI-HELP,cli,Every public command and nested clean command has working --help with usage and flags.,passed,,HELP-root; HELP-list; HELP-show; HELP-prompts; HELP-cmds; HELP-errors; HELP-tools; HELP-stats; HELP-path; HELP-grep; HELP-find; HELP-index; HELP-skills; HELP-secrets; HELP-init; HELP-serve; HELP-secrets-clean,3,tests/test_cli.py::test_grep_help_documents_the_new_flags; tests/test_scope.py::test_grep_help_documents_the_window_flags; tests/test_secrets_cli.py::test_help_places_clean_under_secrets,README.md; src/sxr/cli.py,
CLI-VERSION,cli,--version prints sxr and the runtime package version.,passed,,VERSION,1,tests/test_smoke.py::test_version,README.md; src/sxr/cli.py,
CLI-PARSERS,cli,Find and skills produce equivalent results through fast entry points and Typer routing.,passed,,LIST-provider,9,tests/test_find.py::test_fast_cli_matches_typer_results; tests/test_find_current.py::test_fast_cli_keeps_exclusion_and_override_semantics; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments0]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments1]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments2]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments3]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments4]; tests/test_find_paths.py::test_path_limits_json_and_both_entry_points; tests/test_skills.py::test_paths_aliases_and_both_parsers,README.md; src/sxr/cli.py,
CLI-FLAG-POSITIONS,cli,"Shared provider, project, output, time and discovery flags work before or after the command; clean also accepts group-level flags.",passed,,LIST-provider,10,tests/test_file_selection.py::test_explicit_file_bypasses_discovery_and_accepts_both_flag_positions[_write_claude-sxr.providers.claude_code]; tests/test_file_selection.py::test_explicit_file_bypasses_discovery_and_accepts_both_flag_positions[_write_codex-sxr.providers.codex]; tests/test_find_integrity.py::test_coverage_and_root_flags_keep_the_same_results; tests/test_scope.py::test_before_today_scopes_the_live_session_out; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_claude-command]; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_claude-group]; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_claude-root]; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_codex-command]; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_codex-group]; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_codex-root],README.md; src/sxr/cli.py,
CLI-CONFLICTS,cli,Conflicting providers and provider-specific discovery flags return usage errors with a useful diagnostic.,passed,,,8,tests/test_file_selection.py::test_file_validation_and_profile_constraints; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments0]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments1]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments2]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments3]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments4]; tests/test_secrets_cli.py::test_conflicting_provider_flags_remain_errors[_write_claude]; tests/test_secrets_cli.py::test_conflicting_provider_flags_remain_errors[_write_codex],README.md; src/sxr/cli.py,
CLI-NEGATIVE-LIMIT,cli,"Negative row limits are rejected with exit 2, consistent with find and skills. This is a consistency expectation beyond the documented 0 and positive values.",failed,SXR-AUD-012,USAGE-negative-limit-list; USAGE-negative-limit-show; USAGE-negative-limit-prompts; USAGE-negative-limit-errors; USAGE-negative-limit-tools; USAGE-negative-limit-stats; USAGE-negative-limit-cmds,11,tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments0]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments1]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments2]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments3]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments4]; tests/test_skills.py::test_bad_skill_flags_are_usage_errors[arguments0]; tests/test_skills.py::test_bad_skill_flags_are_usage_errors[arguments1]; tests/test_skills.py::test_bad_skill_flags_are_usage_errors[arguments2]; tests/test_skills.py::test_bad_skill_flags_are_usage_errors[arguments3]; tests/test_skills.py::test_bad_skill_flags_are_usage_errors[arguments4]; tests/test_skills.py::test_bad_skill_flags_are_usage_errors[arguments5],README.md; src/sxr/cli.py,
CLI-RECORD-ERROR,cli,Unexpected JSON record shapes should be skipped or reported as errors without an uncaught Python traceback. This is a resilience expectation.,failed,SXR-AUD-015,USAGE-invalid-json-record,2,tests/test_read_cache.py::test_blank_torn_and_invalid_utf8_preserve_source_coordinates[_write_claude]; tests/test_read_cache.py::test_blank_torn_and_invalid_utf8_preserve_source_coordinates[_write_codex],README.md; src/sxr/cli.py,
FORMAT-JSON,output,--json emits parseable structured output; session read views preserve original records and never shorten values.,passed,,READ-provider-outcomes,40,tests/test_codex_outcomes.py::test_completed_commands_counts_and_native_zoom; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command0-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command0-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command1-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command1-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command10-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command10-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command11-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command11-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command12-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command12-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command2-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command2-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command3-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command3-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command4-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command4-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command5-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command5-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command6-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command6-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command7-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command7-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command8-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command8-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command9-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command9-_write_codex]; tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[False-False]; tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[False-True]; tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[True-False]; tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[True-True]; tests/test_prompts.py::test_codex_legacy_user_events_are_not_duplicated[False]; tests/test_prompts.py::test_codex_legacy_user_events_are_not_duplicated[True]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[False-False]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[False-True]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[True-False]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[True-True]; tests/test_prompts.py::test_codex_prompts_keeps_unlabelled_legacy_messages; tests/test_prompts.py::test_codex_prompts_keeps_user_attachments; tests/test_prompts.py::test_codex_prompts_with_only_injected_context_is_empty,README.md; src/sxr/onboard.py,
FORMAT-CLEAN-JSON,output,"secrets clean honors its advertised --json flag with JSON output, or rejects that unsupported output mode. It must not silently emit TSV.",failed,SXR-AUD-013,FORMAT-clean-json,0,,README.md; src/sxr/onboard.py,
OUTPUT-LIMIT-JSON,output,"A positive -n caps JSONL record counts across show, prompts, errors and cmds while leaving each returned record intact.",failed,SXR-AUD-005,LIMIT-json-show; LIMIT-json-prompts; LIMIT-json-errors; LIMIT-json-cmds,2,tests/test_views.py::test_cmds_limit_caps_the_whole_scope_not_each_session; tests/test_views.py::test_cmds_limit_zero_prints_everything,README.md; src/sxr/onboard.py,
