id,area,status,baseline_status,issue_ids,evidence
CLI-HELP,cli,passed,passed,,pytest-permitted.xml; final-contracts.json
CLI-VERSION,cli,passed,passed,,pytest-permitted.xml; final-contracts.json
CLI-PARSERS,cli,passed,passed,,pytest-permitted.xml; final-contracts.json
CLI-FLAG-POSITIONS,cli,passed,passed,,pytest-permitted.xml; final-contracts.json
CLI-CONFLICTS,cli,passed,passed,,pytest-permitted.xml
CLI-NEGATIVE-LIMIT,cli,passed,failed,SXR-AUD-012,pytest-permitted.xml; final-contracts.json; resolutions.json
CLI-RECORD-ERROR,cli,passed,failed,SXR-AUD-015,pytest-permitted.xml; final-contracts.json; resolutions.json
FORMAT-JSON,output,passed,passed,,pytest-permitted.xml; final-contracts.json
FORMAT-CLEAN-JSON,output,passed,failed,SXR-AUD-013,pytest-permitted.xml; final-contracts.json; resolutions.json
OUTPUT-LIMIT-JSON,output,passed,failed,SXR-AUD-005,pytest-permitted.xml; final-contracts.json; resolutions.json
OUTPUT-LIMIT-AGGREGATES,output,passed,failed,SXR-AUD-007,pytest-permitted.xml; final-contracts.json; resolutions.json
LIST-DEFAULT,list,passed,passed,,pytest-permitted.xml; final-contracts.json
LIST-CODEX,list,passed,passed,,pytest-permitted.xml; final-contracts.json
LIST-LIMIT,list,passed,passed,,pytest-permitted.xml
LIST-LIVE,list,passed,passed,,pytest-permitted.xml
LIST-EMPTY,list,passed,passed,,pytest-permitted.xml
LIST-LAZY,list,passed,passed,,pytest-permitted.xml
SELECT-DEFAULT,selection,passed,passed,,pytest-permitted.xml; final-contracts.json
SELECT-HANDLES,selection,passed,passed,,pytest-permitted.xml; final-contracts.json
SELECT-NAMES,selection,passed,passed,,pytest-permitted.xml; final-contracts.json
SELECT-AMBIGUITY,selection,passed,passed,,pytest-permitted.xml
SELECT-CHILD-ID,selection,passed,passed,,pytest-permitted.xml
SCOPE-PATH,scope,passed,passed,,pytest-permitted.xml
SCOPE-RECURSIVE,scope,passed,passed,,pytest-permitted.xml
SCOPE-WORKTREES,scope,passed,passed,,pytest-permitted.xml
SCOPE-PROFILES,scope,passed,passed,,pytest-permitted.xml
SCOPE-CHILDREN,scope,passed,passed,,pytest-permitted.xml
SCOPE-ARCHIVES,scope,passed,passed,,pytest-permitted.xml
SCOPE-COPIES,scope,passed,passed,,pytest-permitted.xml
SCOPE-COVERAGE,scope,passed,passed,,pytest-permitted.xml
SCOPE-FILE,scope,passed,passed,,pytest-permitted.xml; final-contracts.json
